Temperaturdaten der Geräte
Datum: 2023_09_21

Version: 0


abs. Zeit     rel. Zeit [s]       Temp. Platte [°C]     Regler Temp. [°C]     Temp. Pyro. (SW, Adv 6/23) [°C]    Temp. PT100 (sample) [°C]          Temp. Pyro. (SW, Ratio) [°C]       
15:55:28       0.7                 200.0                 246.0                 247.6                              244.0                              254.5                              
15:55:31       3.4                 200.0                 245.8                 247.3                              243.8                              256.6                              
15:55:33       5.8                 200.0                 245.6                 247.2                              243.7                              255.3                              
15:55:36       8.2                 205.0                 245.5                 247.0                              243.5                              256.7                              
15:55:38       10.6                210.0                 245.3                 246.9                              243.4                              256.0                              
15:55:41       12.9                215.0                 245.2                 246.7                              243.2                              254.6                              
15:55:43       15.3                215.0                 245.0                 246.7                              243.1                              255.6                              
15:55:45       17.7                220.0                 244.9                 246.6                              242.9                              253.6                              
15:55:48       20.1                225.0                 244.8                 246.6                              242.7                              253.5                              
15:55:50       22.4                235.0                 244.7                 246.4                              242.6                              256.4                              
15:55:53       24.8                240.0                 244.7                 246.2                              242.5                              253.6                              
15:55:55       27.2                245.0                 244.6                 246.1                              242.2                              254.2                              
15:55:57       29.5                250.0                 244.6                 245.9                              242.2                              250.9                              
15:56:00       31.9                255.0                 244.6                 245.7                              242.0                              252.7                              
15:56:02       34.3                255.0                 244.6                 245.7                              241.9                              255.7                              
15:56:04       36.6                255.0                 244.6                 245.7                              241.7                              253.6                              
15:56:07       39.0                260.0                 244.6                 245.8                              241.6                              254.8                              
15:56:09       41.4                265.0                 244.6                 245.8                              241.6                              256.7                              
15:56:11       43.7                270.0                 244.6                 245.6                              241.4                              256.2                              
15:56:14       46.1                275.0                 244.6                 245.4                              241.4                              257.2                              
15:56:16       48.4                280.0                 244.7                 245.2                              241.3                              251.0                              
15:56:18       50.7                285.0                 244.8                 245.0                              241.2                              251.4                              
15:56:21       53.1                285.0                 244.9                 244.9                              241.1                              253.0                              
15:56:23       55.4                285.0                 245.0                 245.0                              241.1                              255.0                              
15:56:25       57.7                285.0                 245.1                 245.0                              241.0                              256.4                              
15:56:28       60.1                290.0                 245.2                 244.9                              240.9                              254.5                              
15:56:30       62.4                290.0                 245.3                 244.8                              240.9                              249.7                              
15:56:33       64.8                290.0                 245.4                 244.7                              240.9                              253.7                              
15:56:35       67.2                290.0                 245.5                 244.7                              240.8                              255.4                              
15:56:37       69.5                290.0                 245.6                 244.5                              240.8                              254.7                              
15:56:40       71.9                290.0                 245.7                 244.6                              240.8                              251.6                              
15:56:42       74.2                285.0                 245.8                 244.5                              240.8                              251.9                              
15:56:44       76.5                285.0                 245.9                 244.5                              240.8                              251.9                              
15:56:47       78.9                285.0                 246.0                 244.6                              240.8                              253.7                              
15:56:49       81.2                280.0                 246.1                 244.6                              240.8                              251.5                              
15:56:51       83.6                280.0                 246.2                 244.5                              240.8                              251.5                              
15:56:54       85.9                275.0                 246.2                 244.6                              240.8                              251.2                              
15:56:56       88.3                275.0                 246.3                 244.6                              240.8                              253.4                              
15:56:58       90.6                275.0                 246.3                 244.5                              240.9                              251.4                              
15:57:01       93.0                270.0                 246.4                 244.6                              240.9                              252.4                              
15:57:03       95.3                270.0                 246.4                 244.6                              241.0                              251.8                              
15:57:05       97.7                265.0                 246.5                 244.6                              241.0                              252.3                              
15:57:08       100.0               265.0                 246.5                 244.7                              241.0                              251.4                              
15:57:10       102.3               265.0                 246.5                 244.6                              241.0                              253.7                              
15:57:12       104.6               265.0                 246.6                 244.7                              241.0                              250.7                              
15:57:15       107.0               260.0                 246.6                 244.7                              241.1                              254.2                              
15:57:17       109.3               260.0                 246.6                 244.7                              241.1                              252.5                              
15:57:19       111.7               260.0                 246.6                 244.7                              241.0                              253.6                              
15:57:22       114.0               255.0                 246.6                 244.7                              241.1                              251.9                              
15:57:24       116.4               255.0                 246.6                 244.8                              241.1                              253.5                              
15:57:26       118.7               255.0                 246.6                 244.8                              241.2                              255.4                              
15:57:29       121.1               260.0                 246.6                 244.9                              241.1                              253.4                              
15:57:31       123.4               260.0                 246.6                 244.8                              241.2                              256.0                              
15:57:33       125.8               260.0                 246.6                 244.8                              241.2                              254.0                              
15:57:36       128.1               260.0                 246.6                 244.8                              241.2                              254.2                              
15:57:38       130.5               260.0                 246.6                 244.8                              241.2                              250.4                              
15:57:41       132.8               260.0                 246.6                 244.8                              241.2                              252.8                              
15:57:43       135.2               260.0                 246.6                 244.8                              241.1                              251.8                              
15:57:45       137.5               260.0                 246.6                 244.9                              241.1                              255.1                              
15:57:48       139.9               260.0                 246.6                 244.9                              241.2                              252.2                              
15:57:50       142.3               265.0                 246.6                 244.9                              241.2                              251.0                              
15:57:52       144.6               265.0                 246.6                 244.9                              241.2                              250.4                              
15:57:55       147.0               265.0                 246.6                 244.9                              241.2                              252.9                              
15:57:57       149.4               265.0                 246.6                 244.9                              241.2                              251.3                              
15:57:59       151.7               265.0                 246.6                 244.8                              241.2                              253.2                              
15:58:02       154.1               265.0                 246.6                 244.9                              241.2                              251.1                              
15:58:04       156.4               265.0                 246.6                 244.9                              241.2                              253.1                              
15:58:06       158.7               265.0                 246.6                 245.0                              241.2                              254.1                              
15:58:09       161.1               270.0                 246.7                 245.1                              241.3                              250.6                              
15:58:11       163.4               270.0                 246.7                 245.0                              241.3                              255.7                              
15:58:14       165.8               270.0                 246.7                 245.0                              241.3                              251.6                              
15:58:16       168.2               270.0                 246.8                 244.9                              241.3                              252.5                              
15:58:18       170.6               270.0                 246.8                 245.0                              241.3                              254.0                              
15:58:21       172.9               270.0                 246.8                 245.1                              241.3                              255.2                              
15:58:23       175.3               270.0                 246.9                 245.1                              241.3                              253.0                              
15:58:25       177.6               270.0                 246.9                 245.2                              241.4                              255.1                              
15:58:28       180.0               270.0                 246.9                 245.2                              241.4                              254.1                              
15:58:30       182.4               270.0                 247.0                 245.2                              241.4                              252.6                              
15:58:32       184.7               270.0                 247.0                 245.2                              241.4                              251.1                              
15:58:35       187.1               270.0                 247.1                 245.2                              241.5                              254.2                              
15:58:37       189.5               270.0                 247.1                 245.2                              241.4                              251.7                              
15:58:39       191.8               270.0                 247.1                 245.2                              241.5                              251.2                              
15:58:42       194.2               270.0                 247.2                 245.2                              241.5                              250.7                              
15:58:44       196.6               265.0                 247.2                 245.2                              241.6                              253.6                              
15:58:47       199.0               265.0                 247.3                 245.3                              241.5                              252.6                              
15:58:49       201.3               270.0                 247.3                 245.3                              241.6                              253.8                              
15:58:51       203.6               270.0                 247.3                 245.3                              241.5                              253.6                              
15:58:54       206.0               270.0                 247.3                 245.4                              241.6                              252.9                              
15:58:56       208.4               270.0                 247.3                 245.3                              241.6                              252.1                              
15:58:58       210.7               270.0                 247.4                 245.3                              241.6                              250.5                              
15:59:01       213.1               265.0                 247.4                 245.4                              241.7                              254.7                              
15:59:03       215.6               265.0                 247.4                 245.4                              241.7                              253.6                              
15:59:06       218.0               265.0                 247.4                 245.5                              241.7                              254.3                              
15:59:08       220.4               265.0                 247.4                 245.6                              241.8                              251.8                              
15:59:10       222.7               265.0                 247.5                 245.5                              241.7                              254.1                              
15:59:13       225.1               265.0                 247.5                 245.4                              241.8                              253.2                              
